antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
bfmtv,Karima Delli,Députée européenne,Europe écologie - Les Verts,GAUCHE,2.6762484634103143,2020-06-29
lci,Gilles Le Gendre,Président du groupe LREM à l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.605257211553715,2020-06-29
france2,Eric Piolle,Maire de Grenoble,Europe écologie - Les Verts,GAUCHE,2.009020415184989,2020-06-29
publicsenat,Brice Hortefeux,Député européen,Les Républicains,DROITE,8.218141242415285,2020-06-29
radioclassique,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.268851104630234,2020-06-29
europe1,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.233872301353582,2020-06-29
publicsenat,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.164715572650403,2020-06-29
rfi,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.543232539249567,2020-06-29
sudradio,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.644967643681193,2020-06-29
radioclassique,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.4217555124263486,2020-06-29
europe1,Brune Poirson,"Secrétaire d'État auprès du Ministre d'État, Ministre de la Transition écologique et solidaire",La République en marche !,CENTRE (majorité),4.074652341673941,2020-06-29
rmc,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.68765489856186,2020-06-30
rfi,Sandra Regol,Secrétaire national adjointe d'EELV,Europe écologie - Les Verts,GAUCHE,2.4031076506531877,2020-06-30
franceinfo,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.053234968510594,2020-06-30
rmc-bfmtv,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.5677733188091025,2020-06-30
franceinfo,Fabien Roussel,Membre du PCF,PCF,EXT G,1.0413337471789046,2020-06-30
franceinter,Nicole Belloubet,"Garde des Sceaux, ministre de la Justice",Divers gauche,GAUCHE,2.1780791812400437,2020-06-30
cnews,Brice Hortefeux,Député européen,Les Républicains,DROITE,8.559889401280122,2020-06-30
europe1,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.648568880437306,2020-06-30
publicsenat,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.712054213341382,2020-06-30
sudradio,François de Rugy,Ancien ministre de la Transition écologique et solidaire,UDE,CENTRE GAUCHE,3.1342152833001227,2020-06-30
rtl,Jeanne Barseghian,Maire de Strasbourg,Europe écologie - Les Verts,GAUCHE,2.140992500306019,2020-06-30
france2,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.109995317172863,2020-06-30
publicsenat,Joël Labbé,Sénateur du Morbihan,Divers gauche,GAUCHE,2.004267273267246,2020-06-30
lci,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.054447368670445,2020-06-30
cnews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.5624446516851753,2020-07-01
europe1,Roxana Maracineanu,Ministre des Sports,Divers,DIV,6.6102232709882855,2020-07-01
franceinfo,Mickaël Nogal,Député de la Haute-Garonne,La République en marche !,CENTRE (majorité),4.432367551495287,2020-07-01
franceinfo,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.445608312850395,2020-07-01
rfi,Geoffroy Didier,Député européen,Les Républicains,DROITE,8.240477484964252,2020-07-01
lci,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.2084028565622473,2020-07-01
lefigaro,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.377123602627469,2020-07-01
cnews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.118656053763845,2020-07-01
publicsenat,Olivier Henno,Sénateur du Nord,UDI,CENTRE DROIT,7.184636320933438,2020-07-01
lci,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.01380775229849,2020-07-01
lci,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.003448290112534,2020-07-01
rtl,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.588537397863629,2020-07-01
france2,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.129196022226814,2020-07-01
sudradio,Julien Aubert,Député du Vaucluse,Les Républicains,DROITE,8.208305829000397,2020-07-01
publicsenat,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.580866229311178,2020-07-01
franceinter,Geneviève Darrieussecq,Ministre déléguée chargée de la Mémoire et des Anciens Combattants,MoDem,CENTRE,5.279734666871111,2020-07-01
cnews,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.6307940420017,2020-07-01
franceinter,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.54243552481343,2020-07-01
rmc-bfmtv,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.7253459286704524,2020-07-01
radioclassique,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.786480305271265,2020-07-01
europe1,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.426969792201016,2020-07-01
cnews,Julien Odoul,Président du groupe RN à la région Bourgogne-Franche-Comté,Rassemblement national,EXT D,9.431638084952482,2020-07-02
rfi,Gabrielle Siry,Porte-parole du Parti socialiste,Parti socialiste,GAUCHE,2.3071448576687326,2020-07-02
franceinfo,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.47601134624093,2020-07-02
franceinfo,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.2722138853924165,2020-07-02
cnews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.584071405284083,2020-07-02
lci,Jean-Luc Moudenc,Maire de Toulouse,Les Républicains,DROITE,8.086028913197776,2020-07-02
franceinfo,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.475433446928095,2020-07-02
europe1,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.546588556948354,2020-07-02
franceinter,Philippe Poutou,Candidat à l'élection présidentielle de 2012 et 2017,NPA,EXT G,1.1186337192882807,2020-07-02
sudradio,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.791201015867287,2020-07-02
rtl,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.242442855601578,2020-07-02
publicsenat,Sacha Houlié,Député de la Vienne,La République en marche !,CENTRE (majorité),4.646885444245028,2020-07-02
publicsenat,Monique Lubin,Sénatrice des Landes,Parti socialiste,GAUCHE,2.5094555786686445,2020-07-02
france2,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.550038594648083,2020-07-02
rmc-bfmtv,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.2580556082403653,2020-07-02
rmc-bfmtv,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.771384507998672,2020-07-03
franceinfo,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.032096812326674,2020-07-03
lcp,Rachid Temal,Sénateur du Val d'Oise et porte-parole du groupe socialiste,Parti socialiste,GAUCHE,2.637064622306017,2020-07-03
cnews,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.626016280532618,2020-07-03
rfi,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.494616581096827,2020-07-03
europe1,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.782159113979953,2020-07-03
publicsenat,Michaël Delafosse,Maire de Montpellier,Parti socialiste,GAUCHE,2.4113387512132207,2020-07-03
sudradio,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.6686555770957705,2020-07-03
rtl,Carole Delga,Présidente du conseil régional d'Occitanie,Parti socialiste,GAUCHE,2.133022536809361,2020-07-03
france2,Gregory Doucet,Maire de Lyon,Europe écologie - Les Verts,GAUCHE,2.564964985893118,2020-07-03
publicsenat,Eric Kerrouche,Sénateur des Landes,Parti socialiste,GAUCHE,2.615928249353871,2020-07-03
franceinfo,Jean-Christophe Cambadélis,Ancien Premier secrétaire du Parti socialiste,Parti socialiste,GAUCHE,2.578356638003171,2020-07-03
cnews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.75693667058632,2020-07-03
franceinter,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.287014643375914,2020-07-04
bfmtv,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.42733265655568,2020-07-05
france2,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.232036050442526,2020-07-06
sudradio,Danièle Obono,Députée de Paris,La France insoumise,EXT G,1.7432933387060898,2020-07-06
franceinfo,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.7208810502525593,2020-07-06
cnews,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.257560243871854,2020-07-06
publicsenat,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.348855871622568,2020-07-06
lcp,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.4890884609375084,2020-07-06
rmc-bfmtv,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.62138911523464,2020-07-06
cnews,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.4496693297237755,2020-07-06
radioclassique,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.6847844164021746,2020-07-06
cnews,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.1638027047583517,2020-07-06
europe1,Pierre Hurmic,Maire de Bordeaux,Europe écologie - Les Verts,GAUCHE,2.5804249789384355,2020-07-06
rfi,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.7144424443370676,2020-07-06
publicsenat,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.183898157281743,2020-07-07
france2,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.2238730602031604,2020-07-07
cnews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.709790703257564,2020-07-07
cnews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.694305532978353,2020-07-07
sudradio,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.071330304920448,2020-07-07
sudradio,Aurélien Taché,Député du Val-d'Oise,La République en marche !,CENTRE (majorité),4.3630462996053305,2020-07-07
publicsenat,Ronan Dantec,Sénateur de Loire-Atlantique,Europe écologie - Les Verts,GAUCHE,2.306059576469071,2020-07-07
cnews,Bruno Bonnell,Député du Rhône,La République en marche !,CENTRE (majorité),4.770850257833057,2020-07-07
lefigaro,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.021912602055455,2020-07-07
rfi,Annie Genevard,Députée du Doubs,Les Républicains,DROITE,8.001656032310034,2020-07-07
franceinter,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.795778801641816,2020-07-07
rtl,Brice Hortefeux,Député européen,Les Républicains,DROITE,8.332320280558971,2020-07-07
cnews,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.427075868325119,2020-07-07
radioclassique,Jack Lang,Ancien ministre,Parti socialiste,GAUCHE,2.4557327516459693,2020-07-07
lefigaro,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.774069056235864,2020-07-08
franceinter,Eric Piolle,Maire de Grenoble,Europe écologie - Les Verts,GAUCHE,2.577590365579322,2020-07-08
rmc,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.629399464801953,2020-07-08
rmc-bfmtv,Jean Castex,Premier ministre,Les Républicains,DROITE,8.370999529162814,2020-07-08
lci,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.6037415815638,2020-07-08
franceinfo,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.344532115926158,2020-07-08
franceinter,Nathalie Loiseau,Députée européenne,La République en marche !,CENTRE (majorité),4.6651091359435926,2020-07-08
radioclassique,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.3068749012275456,2020-07-08
cnews,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.52927303687289,2020-07-08
europe1,Gilles Le Gendre,Président du groupe LREM à l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.041970694498627,2020-07-08
sudradio,Jean-Baptiste Moreau,Député de la Creuse,La République en marche !,CENTRE (majorité),4.599146819055687,2020-07-08
rmc,Louis Aliot,Député européen,Rassemblement national,EXT D,9.109735104627461,2020-07-08
rfi,Célia de Lavergne,Députée de la Drôme,La République en marche !,CENTRE (majorité),4.28028909739648,2020-07-08
europe1,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.078045588201304,2020-07-09
lefigaro,François Kalfon,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.5791129651942075,2020-07-09
sudradio,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.507948687830677,2020-07-09
franceinter,Roselyne Bachelot,Ministre de la Culture,Divers droite,DROITE,8.463738788539475,2020-07-09
france2,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.443786731219679,2020-07-09
rtl,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.127595226669275,2020-07-09
publicsenat,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3959021194072,2020-07-09
cnews,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.6722004581509706,2020-07-09
radioclassique,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.128209945444372,2020-07-09
franceinfo,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.6531638749091906,2020-07-09
publicsenat,Gérard Longuet,Sénateur de la Meuse,Les Républicains,DROITE,8.695264946019318,2020-07-09
lefigaro,Gilles Le Gendre,Président du groupe LREM à l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.230091609268511,2020-07-10
rmc-bfmtv,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.546176422134191,2020-07-10
radioclassique,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.486836570853583,2020-07-10
publicsenat,Pierre Hurmic,Maire de Bordeaux,Europe écologie - Les Verts,GAUCHE,2.0926391199296894,2020-07-10
europe1,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.134627163277451,2020-07-10
sudradio,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.522183126837748,2020-07-10
publicsenat,Catherine Procaccia,Sénatrice du Val-de-Marne,Les Républicains,DROITE,8.718236656937155,2020-07-10
cnews,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.382336743639474,2020-07-10
publicsenat,Mathieu Klein,Maire de Nancy,Parti socialiste,GAUCHE,2.6658671531024933,2020-07-10
europe1,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.712564561398088,2020-07-11
lci,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.434501061880217,2020-07-12
